Bedding_week,Date,Time,Age_in_months,IdLabel,total_visited_cages
1,2020-08-27,2023-03-15T08:00:00Z,15,18291F,6
1,2020-08-27,2023-03-15T08:00:00Z,18,16829E,1
1,2020-08-27,2023-03-15T08:00:00Z,37,10793A,1
1,2020-08-27,2023-03-15T09:00:00Z,15,18291F,10
1,2020-08-27,2023-03-15T09:00:00Z,18,16829E,24
1,2020-08-27,2023-03-15T09:00:00Z,20,16509C,16
1,2020-08-27,2023-03-15T09:00:00Z,25,14827B,31
1,2020-08-27,2023-03-15T09:00:00Z,37,10793A,15
1,2020-08-27,2023-03-15T10:00:00Z,12,19231J,59
1,2020-08-27,2023-03-15T10:00:00Z,15,18291F,75
1,2020-08-27,2023-03-15T10:00:00Z,18,16829E,40
1,2020-08-27,2023-03-15T10:00:00Z,20,16509C,36
1,2020-08-27,2023-03-15T10:00:00Z,25,14827B,6
1,2020-08-27,2023-03-15T10:00:00Z,37,10793A,6
1,2020-08-27,2023-03-15T11:00:00Z,15,18291F,3
1,2020-08-27,2023-03-15T11:00:00Z,18,16829E,11
1,2020-08-27,2023-03-15T11:00:00Z,25,14827B,16
1,2020-08-27,2023-03-15T12:00:00Z,12,19231J,7
1,2020-08-27,2023-03-15T12:00:00Z,15,18291F,33
1,2020-08-27,2023-03-15T12:00:00Z,18,16829E,9
1,2020-08-27,2023-03-15T12:00:00Z,20,16509C,64
1,2020-08-27,2023-03-15T12:00:00Z,25,14827B,55
1,2020-08-27,2023-03-15T12:00:00Z,37,10793A,7
1,2020-08-27,2023-03-15T13:00:00Z,12,19231J,180
1,2020-08-27,2023-03-15T13:00:00Z,15,18291F,255
1,2020-08-27,2023-03-15T13:00:00Z,18,16829E,64
1,2020-08-27,2023-03-15T13:00:00Z,20,16509C,143
1,2020-08-27,2023-03-15T13:00:00Z,37,10793A,40
1,2020-08-27,2023-03-15T14:00:00Z,12,19231J,226
1,2020-08-27,2023-03-15T14:00:00Z,15,18291F,165
1,2020-08-27,2023-03-15T14:00:00Z,18,16829E,9
1,2020-08-27,2023-03-15T14:00:00Z,20,16509C,125
1,2020-08-27,2023-03-15T14:00:00Z,25,14827B,80
1,2020-08-27,2023-03-15T14:00:00Z,37,10793A,17
1,2020-08-27,2023-03-15T15:00:00Z,15,18291F,50
1,2020-08-27,2023-03-15T15:00:00Z,25,14827B,32
1,2020-08-27,2023-03-15T15:00:00Z,37,10793A,3
1,2020-08-27,2023-03-15T16:00:00Z,12,19231J,110
1,2020-08-27,2023-03-15T16:00:00Z,15,18291F,6
1,2020-08-27,2023-03-15T16:00:00Z,18,16829E,64
1,2020-08-27,2023-03-15T16:00:00Z,20,16509C,16
1,2020-08-27,2023-03-15T16:00:00Z,25,14827B,37
1,2020-08-27,2023-03-15T16:00:00Z,37,10793A,7
1,2020-08-27,2023-03-15T17:00:00Z,12,19231J,330
1,2020-08-27,2023-03-15T17:00:00Z,15,18291F,19
1,2020-08-27,2023-03-15T17:00:00Z,18,16829E,133
1,2020-08-27,2023-03-15T17:00:00Z,20,16509C,119
1,2020-08-27,2023-03-15T17:00:00Z,25,14827B,244
1,2020-08-27,2023-03-15T17:00:00Z,37,10793A,36
1,2020-08-27,2023-03-15T18:00:00Z,12,19231J,195
1,2020-08-27,2023-03-15T18:00:00Z,15,18291F,167
1,2020-08-27,2023-03-15T18:00:00Z,18,16829E,48
1,2020-08-27,2023-03-15T18:00:00Z,20,16509C,47
1,2020-08-27,2023-03-15T18:00:00Z,25,14827B,170
1,2020-08-27,2023-03-15T18:00:00Z,37,10793A,48
1,2020-08-27,2023-03-15T19:00:00Z,12,19231J,135
1,2020-08-27,2023-03-15T19:00:00Z,15,18291F,28
1,2020-08-27,2023-03-15T19:00:00Z,18,16829E,7
1,2020-08-27,2023-03-15T19:00:00Z,20,16509C,14
1,2020-08-27,2023-03-15T19:00:00Z,25,14827B,24
1,2020-08-27,2023-03-15T19:00:00Z,37,10793A,22
1,2020-08-27,2023-03-15T20:00:00Z,12,19231J,175
1,2020-08-27,2023-03-15T20:00:00Z,15,18291F,6
1,2020-08-27,2023-03-15T20:00:00Z,18,16829E,72
1,2020-08-27,2023-03-15T20:00:00Z,20,16509C,116
1,2020-08-27,2023-03-15T20:00:00Z,25,14827B,88
1,2020-08-27,2023-03-15T21:00:00Z,12,19231J,123
1,2020-08-27,2023-03-15T21:00:00Z,15,18291F,77
1,2020-08-27,2023-03-15T21:00:00Z,18,16829E,79
1,2020-08-27,2023-03-15T21:00:00Z,20,16509C,31
1,2020-08-27,2023-03-15T21:00:00Z,25,14827B,13
1,2020-08-27,2023-03-15T22:00:00Z,12,19231J,1
1,2020-08-27,2023-03-15T22:00:00Z,15,18291F,149
1,2020-08-27,2023-03-15T22:00:00Z,18,16829E,37
1,2020-08-27,2023-03-15T22:00:00Z,20,16509C,119
1,2020-08-27,2023-03-15T22:00:00Z,25,14827B,72
1,2020-08-27,2023-03-15T23:00:00Z,12,19231J,9
1,2020-08-27,2023-03-15T23:00:00Z,15,18291F,176
1,2020-08-27,2023-03-15T23:00:00Z,18,16829E,12
1,2020-08-27,2023-03-15T23:00:00Z,20,16509C,98
1,2020-08-27,2023-03-15T23:00:00Z,25,14827B,149
1,2020-08-27,2023-03-15T23:00:00Z,37,10793A,13
1,2020-08-28,2023-03-15T00:00:00Z,12,19231J,108
1,2020-08-28,2023-03-15T00:00:00Z,15,18291F,69
1,2020-08-28,2023-03-15T00:00:00Z,18,16829E,66
1,2020-08-28,2023-03-15T00:00:00Z,20,16509C,12
1,2020-08-28,2023-03-15T00:00:00Z,25,14827B,85
1,2020-08-28,2023-03-15T00:00:00Z,37,10793A,12
1,2020-08-28,2023-03-15T01:00:00Z,12,19231J,4
1,2020-08-28,2023-03-15T01:00:00Z,15,18291F,11
1,2020-08-28,2023-03-15T01:00:00Z,18,16829E,3
1,2020-08-28,2023-03-15T01:00:00Z,20,16509C,4
1,2020-08-28,2023-03-15T01:00:00Z,37,10793A,39
1,2020-08-28,2023-03-15T02:00:00Z,15,18291F,6
1,2020-08-28,2023-03-15T02:00:00Z,18,16829E,4
1,2020-08-28,2023-03-15T02:00:00Z,20,16509C,7
