Group,IdLabel,Day,Cage,Duration_sum,Duration_light,Duration_dark
All,16509C,10,Cage 3-4,8768.947,65.916,8703.031
All,16509C,10,Cage 3-5,1358.033,98.4,1259.633
All,16509C,10,Cage 3-6,2251.697,72.75,2178.947
All,16509C,10,Tube 2:3,131.053,8.306,122.747
All,16829E,1,Cage 2-1,444.654,444.654,0
All,16829E,1,Cage 2-3,486.412,486.412,0
All,16829E,1,Cage 2-4,370.011,370.011,0
All,16829E,1,Cage 2-5,452.996,452.996,0
All,16829E,1,Cage 2-6,734.109,734.109,0
All,16829E,1,Tube 2:3,15.809,15.809,0
All,16829E,2,Cage 2-1,20898.358,11040.081,9858.277
All,16829E,2,Cage 2-2,4135.456,1043.618,3091.838
All,16829E,2,Cage 2-3,5693.964,4153.347,1540.617
All,16829E,2,Cage 2-4,2336.263,916.781,1419.482
All,16829E,2,Cage 2-5,3096.895,1066.032,2030.863
All,16829E,2,Cage 2-6,12467.926,9399.698,3068.228
All,16829E,2,Tube 1:2,22.111,22.111,0
All,16829E,2,Tube 2:3,92.162,71.021,21.141
All,16829E,3,Cage 2-1,6222.96,3781.171,2441.789
All,16829E,3,Cage 2-2,4121.922,809.754,3312.168
All,16829E,3,Cage 2-3,2198.038,576.121,1621.917
All,16829E,3,Cage 2-4,2386.818,593.827,1792.991
All,16829E,3,Cage 2-5,2899.497,450.398,2449.099
All,16829E,3,Cage 2-6,13735.106,7869.358,5865.748
All,16829E,3,Tube 1:2,248.459,40.513,207.946
All,16829E,3,Tube 2:3,174.203,31.203,143
All,16829E,4,Cage 2-1,2982.316,687.316,2295
All,16829E,4,Cage 2-2,3169.694,448.706,2720.988
All,16829E,4,Cage 2-3,12924.805,9560.619,3364.186
All,16829E,4,Cage 2-4,8645.269,7326.959,1318.31
All,16829E,4,Cage 2-5,2736.948,1020.613,1716.335
All,16829E,4,Cage 2-6,13969.711,969.17,13000.541
All,16829E,4,Tube 1:2,177.108,81.512,95.596
All,16829E,4,Tube 2:3,304.728,102.848,201.88
All,16829E,5,Cage 2-1,2295.23,486.514,1808.716
All,16829E,5,Cage 2-2,2567.026,1075.995,1491.031
All,16829E,5,Cage 2-3,17154.187,7696.803,9457.384
All,16829E,5,Cage 2-4,26615.044,20390.457,6224.587
All,16829E,5,Cage 2-5,2884.365,903.444,1980.921
All,16829E,5,Cage 2-6,3222.251,991.74,2230.511
All,16829E,5,Tube 1:2,198.204,82.368,115.836
All,16829E,5,Tube 2:3,239.954,89.528,150.426
All,16829E,6,Cage 2-1,1057.457,240.97,816.487
All,16829E,6,Cage 2-2,3028.517,594.543,2433.974
All,16829E,6,Cage 2-3,33598.427,20680.708,12917.719
All,16829E,6,Cage 2-4,21639.904,11421.542,10218.362
All,16829E,6,Cage 2-5,3329.671,505.419,2824.252
All,16829E,6,Cage 2-6,2073.372,455.972,1617.4
All,16829E,6,Tube 1:2,123.133,36.83,86.303
All,16829E,6,Tube 2:3,180.764,40.135,140.629
All,16829E,7,Cage 2-1,1361.471,524.031,837.44
All,16829E,7,Cage 2-2,3616.064,459.686,3156.378
All,16829E,7,Cage 2-3,40951.786,23253.596,17698.19
All,16829E,7,Cage 2-4,7437.857,5431.389,2006.468
All,16829E,7,Cage 2-5,2027.763,156.016,1871.747
All,16829E,7,Cage 2-6,2456.131,746.687,1709.444
All,16829E,7,Tube 1:2,184.796,21.448,163.348
All,16829E,7,Tube 2:3,227.005,39.245,187.76
All,16829E,8,Cage 1-1,77.298,0,77.298
All,16829E,8,Cage 1-2,756.587,0,756.587
All,16829E,8,Cage 1-3,81.444,0,81.444
All,16829E,8,Cage 1-4,90.812,0,90.812
All,16829E,8,Cage 1-5,91.857,0,91.857
All,16829E,8,Cage 1-6,264.647,0,264.647
All,16829E,8,Cage 2-1,913.807,356.251,557.556
All,16829E,8,Cage 2-2,1636.317,78.455,1557.862
All,16829E,8,Cage 2-3,26636.416,21460.26,5176.156
All,16829E,8,Cage 2-4,7325.346,344.642,6980.704
All,16829E,8,Cage 2-5,1439.403,153.941,1285.462
All,16829E,8,Cage 2-6,1322.326,83.747,1238.579
All,16829E,8,Cage 3-1,1905.573,1139.499,766.074
All,16829E,8,Cage 3-2,2150.807,805.648,1345.159
All,16829E,8,Cage 3-3,10298.356,6254.491,4043.865
All,16829E,8,Cage 3-4,1350.109,174.072,1176.037
All,16829E,8,Cage 3-5,983.143,253.815,729.328
All,16829E,8,Cage 3-6,1639.414,293.395,1346.019
All,16829E,8,Tube 1:2,261.289,21.845,239.444
All,16829E,8,Tube 2:3,731.908,173.443,558.465
All,16829E,9,Cage 1-1,251.337,104.391,146.946
All,16829E,9,Cage 1-2,453.562,212.287,241.275
All,16829E,9,Cage 1-3,12442.836,12382.79,60.046
All,16829E,9,Cage 1-4,5285.123,4737.427,547.696
All,16829E,9,Cage 1-5,361.722,89.335,272.387
All,16829E,9,Cage 1-6,197.572,136.738,60.834
All,16829E,9,Cage 2-1,2394.958,1158.283,1236.675
All,16829E,9,Cage 2-2,1315.262,800.993,514.269
All,16829E,9,Cage 2-3,13188.369,9573.562,3614.807
All,16829E,9,Cage 2-4,3899.649,547.278,3352.371
All,16829E,9,Cage 2-5,624.643,178.528,446.115
All,16829E,9,Cage 2-6,624.821,171.514,453.307
All,16829E,9,Cage 3-1,1700.799,0,1700.799
All,16829E,9,Cage 3-2,2583.404,0,2583.404
All,16829E,9,Cage 3-3,7191.469,0,7191.469
All,16829E,9,Cage 3-4,2717.443,0,2717.443
All,16829E,9,Cage 3-5,610.973,0,610.973
All,16829E,9,Cage 3-6,688.228,0,688.228
All,16829E,9,Tube 1:2,290.512,134.913,155.599
All,16829E,9,Tube 2:3,391.222,28.275,362.947
All,16829E,10,Cage 1-1,349.434,0,349.434
All,16829E,10,Cage 1-2,1345.923,0,1345.923
All,16829E,10,Cage 1-3,1286.841,0,1286.841
All,16829E,10,Cage 1-4,1781.256,0,1781.256
All,16829E,10,Cage 1-5,486.138,0,486.138
All,16829E,10,Cage 1-6,447.732,0,447.732
All,16829E,10,Cage 2-1,704.874,56.208,648.666
All,16829E,10,Cage 2-2,2064.473,90.985,1973.488
All,16829E,10,Cage 2-3,23442.913,9071.794,14371.119
All,16829E,10,Cage 2-4,1355.945,3.305,1352.64
All,16829E,10,Cage 2-5,570.051,3.177,566.874
All,16829E,10,Cage 2-6,846.812,178.098,668.714
All,16829E,10,Cage 3-1,386.226,0,386.226
All,16829E,10,Cage 3-2,830.257,0,830.257
All,16829E,10,Cage 3-3,428.709,0,428.709
All,16829E,10,Cage 3-4,159.745,0,159.745
All,16829E,10,Cage 3-5,295.179,0,295.179
All,16829E,10,Cage 3-6,467.437,0,467.437
All,16829E,10,Tube 1:2,226.222,2.476,223.746
All,16829E,10,Tube 2:3,207.305,5.902,201.403
All,18291F,1,Cage 2-1,300.759,300.759,0
All,18291F,1,Cage 2-2,976.378,976.378,0
All,18291F,1,Cage 2-3,330.494,330.494,0
All,18291F,1,Cage 2-4,663.513,663.513,0
All,18291F,1,Cage 2-5,375.596,375.596,0
All,18291F,1,Cage 2-6,745.318,745.318,0
All,18291F,1,Tube 1:2,148.674,148.674,0
All,18291F,1,Tube 2:3,75.846,75.846,0
All,18291F,2,Cage 1-1,571.445,0,571.445
All,18291F,2,Cage 1-2,99.515,0,99.515
All,18291F,2,Cage 1-3,241.624,0,241.624
All,18291F,2,Cage 1-4,585.862,0,585.862
All,18291F,2,Cage 1-5,91.829,0,91.829
All,18291F,2,Cage 1-6,488.88,0,488.88
All,18291F,2,Cage 2-1,3077.417,0,3077.417
All,18291F,2,Cage 2-2,3632.852,0,3632.852
All,18291F,2,Cage 2-3,4475.58,0,4475.58
All,18291F,2,Cage 2-4,1706.82,1.671,1705.149
All,18291F,2,Cage 2-5,1309.56,0,1309.56
All,18291F,2,Cage 2-6,1278.799,0,1278.799
All,18291F,2,Cage 3-1,1258.684,730.186,528.498
All,18291F,2,Cage 3-2,3904.41,2255.189,1649.221
All,18291F,2,Cage 3-3,5593.517,3832.441,1761.076
All,18291F,2,Cage 3-4,14892.11,14217.347,674.763
All,18291F,2,Cage 3-5,1127.882,697.837,430.045
All,18291F,2,Cage 3-6,8043.811,7665.897,377.914
All,18291F,2,Tube 1:2,690.113,0,690.113
All,18291F,2,Tube 2:3,1223.477,231.023,992.454
All,18291F,3,Cage 1-1,3606.028,3004.149,601.879
All,18291F,3,Cage 1-2,3094.603,1582.079,1512.524
All,18291F,3,Cage 1-3,4870.874,3836.018,1034.856
All,18291F,3,Cage 1-4,6287.954,5488.506,799.448
All,18291F,3,Cage 1-5,766.172,372.381,393.791
All,18291F,3,Cage 1-6,7659.518,6775.703,883.815
All,18291F,3,Cage 2-1,450.41,0,450.41
All,18291F,3,Cage 2-2,608.658,55.549,553.109
All,18291F,3,Cage 2-3,930.168,0,930.168
All,18291F,3,Cage 2-4,537.909,88.119,449.79
All,18291F,3,Cage 2-5,403.501,0,403.501
All,18291F,3,Cage 2-6,972.838,0,972.838
All,18291F,3,Cage 3-1,4487.818,1646.417,2841.401
All,18291F,3,Cage 3-2,1864.205,82.289,1781.916
All,18291F,3,Cage 3-3,7042.465,785.497,6256.968
All,18291F,3,Cage 3-4,2341.202,352.497,1988.705
All,18291F,3,Cage 3-5,933.687,52.606,881.081
